"spkid","full_name","name","prefix","epoch_mjd","a","e","i","om","w","ma","H","G","diameter","albedo","rot_per","q","moid"
3837993,"       (2019 BR2)",,,59800,1.508,0.4760,5.80,306.74,248.44,301.13,28.30,,,,,0.790,0.00241
3837994,"       (2019 BS2)",,,59800,0.7522,0.3395,16.45,306.58,348.74,350.20,27.30,,,,,0.497,0.0134
3838020,"       (2019 BT2)",,,59800,1.082,0.4924,19.94,306.77,65.70,122.93,20.50,,,,,0.549,0.0232
3838019,"       (2019 BU2)",,,58509,1.495,0.3574,10.63,123.85,325.74,16.12,25.40,,,,,0.961,0.0178
3838021,"       (2019 BV2)",,,59800,1.315,0.5001,0.66,134.73,82.17,87.51,25.50,,,,,0.658,0.000901
3838028,"       (2019 BA3)",,,59800,2.831,0.6377,2.41,354.77,119.61,270.39,24.80,,,,,1.026,0.0564
3838027,"       (2019 BB3)",,,58510,1.77,0.5522,3.28,308.38,108.89,20.14,27.20,,,,,0.793,0.00787
3838029,"       (2019 BC3)",,,58500,1.519,0.4576,7.79,310.81,244.96,328.58,24.80,,,,,0.824,0.00748
3838030,"       (2019 BD3)",,,59800,1.8,0.4651,0.37,43.48,119.77,154.74,25.60,,,,,0.963,0.00354
3838031,"       (2019 BE3)",,,59800,1.232,0.5942,8.51,130.10,111.00,166.08,24.40,,,,,0.500,0.0058
3838033,"       (2019 BF3)",,,59800,1.565,0.3469,14.68,127.36,349.04,293.90,25.10,,,,,1.022,0.0429
3838032,"       (2019 BG3)",,,59800,1.521,0.7983,9.42,129.05,122.64,293.98,26.10,,,,,0.307,0.00197
3838034,"       (2019 BH3)",,,58508,1.867,0.4833,2.69,124.66,41.13,346.83,25.70,,,,,0.965,0.0148
3838035,"       (2019 BQ3)",,,59800,2.425,0.4721,16.93,133.44,337.51,340.13,21.60,,,,,1.280,0.312
3838037,"       (2019 BR3)",,,58511,1.413,0.4017,0.53,159.96,32.90,330.77,27.90,,,,,0.845,0.00406
3838036,"       (2019 BS3)",,,58509,1.691,0.4131,61.48,126.97,306.03,21.17,24.20,,,,,0.992,0.137
3838038,"       (2019 BT3)",,,59800,0.9277,0.2491,26.09,128.12,181.52,157.74,23.20,,,,,0.697,0.175
3838039,"       (2019 BU3)",,,59800,0.8597,0.1746,5.72,127.51,202.43,302.35,29.10,,,,,0.710,0.00825
3838041,"       (2019 BV3)",,,58512,0.8824,0.5684,20.88,306.61,42.38,79.95,25.10,,,,,0.381,0.021
3838042,"       (2019 BW3)",,,58510,0.9303,0.4416,17.97,312.89,34.38,91.16,23.50,,,,,0.519,0.104
3838043,"       (2019 BX3)",,,58512,1.438,0.2853,15.46,310.30,185.28,355.72,26.00,,,,,1.027,0.0431
3838040,"       (2019 BY3)",,,58512,1.757,0.4461,9.18,306.99,204.41,352.04,27.40,,,,,0.973,0.0126
3838044,"       (2019 BZ3)",,,59800,2.297,0.5775,10.65,127.30,338.63,9.25,28.78,,,,,0.971,0.0102
